Size(Bytes), Avg Cycles, Avg Instret, Cycles/Byte
128, 344199, 285257, 2689.054
256, 683481, 568540, 2669.847
384, 1025092, 852768, 2669.510
512, 1366727, 1137008, 2669.388
640, 1708368, 1421248, 2669.325
768, 2049989, 1705477, 2669.256
896, 2391592, 1989706, 2669.187
1024, 2733203, 2273934, 2669.143
1152, 3074738, 2558080, 2669.043
1280, 3416287, 2842237, 2668.974
1408, 3758122, 3126632, 2669.121
1536, 4099305, 3410486, 2668.818
1664, 4441058, 3694812, 2668.905
1792, 4782609, 3978971, 2668.867
1920, 5124315, 4263260, 2668.914
2048, 5466357, 4547827, 2669.120
2176, 5807264, 4831451, 2668.779
2304, 6149235, 5115959, 2668.939
2432, 6490387, 5399786, 2668.745
2560, 6831471, 5683556, 2668.543
2688, 7172943, 5967650, 2668.506
2816, 7514972, 6252207, 2668.669
2944, 7856825, 6536617, 2668.758
3072, 8198529, 6820903, 2668.792
3200, 8539216, 7104343, 2668.505
3328, 8881118, 7388794, 2668.605
3456, 9222312, 7672657, 2668.493
3584, 9565622, 7958280, 2668.979
3712, 9905159, 8240762, 2668.416
3840, 10247095, 8525242, 2668.514
3968, 10588295, 8809109, 2668.421
4096, 10930084, 9093466, 2668.478
4224, 11273878, 9379491, 2669.005
4352, 11614713, 9663055, 2668.822
4480, 11954703, 9945916, 2668.460
4608, 12296564, 10230332, 2668.525
4736, 12637705, 10514150, 2668.434
4864, 12979455, 10798475, 2668.473
4992, 13320667, 11082352, 2668.403
5120, 13664670, 11368551, 2668.881
5248, 14003906, 11650784, 2668.427
5376, 14346733, 11936005, 2668.663
5504, 14686480, 12218663, 2668.328
5632, 15028065, 12502850, 2668.335
5760, 15370746, 12787949, 2668.532
5888, 15711346, 13071317, 2668.367
6016, 16052860, 13355445, 2668.361
6144, 16394527, 13639701, 2668.380
6272, 16735883, 13923698, 2668.349
6400, 17078797, 14208991, 2668.562
6528, 17418601, 14491696, 2668.291
6656, 17764839, 14779755, 2668.996
6784, 18101563, 15059898, 2668.273
6912, 18446526, 15346896, 2668.768
7040, 18784832, 15628355, 2668.300
7168, 19127335, 15913306, 2668.434
7296, 19469088, 16197634, 2668.461
7424, 19810316, 16481524, 2668.415
7552, 20152050, 16765835, 2668.439
7680, 20494749, 17050950, 2668.587
7808, 20836412, 17335201, 2668.598
7936, 21178451, 17619767, 2668.656
8064, 21518758, 17902891, 2668.497
8192, 21858782, 18185780, 2668.308
8320, 22200288, 18469901, 2668.304
8448, 22542270, 18754419, 2668.356
8576, 22883993, 19038721, 2668.376
8704, 23225249, 19322634, 2668.342
8832, 23565826, 19605983, 2668.232
8960, 23909120, 19891592, 2668.429
9088, 24254959, 20179319, 2668.900
9216, 24593575, 20461036, 2668.574
9344, 24934711, 20744850, 2668.526
9472, 25273704, 21026881, 2668.254
9600, 25618776, 21313970, 2668.622
9728, 25957179, 21595509, 2668.296
9856, 26305208, 21885058, 2668.954
9984, 26641271, 22164652, 2668.397
10112, 26981735, 22447906, 2668.289
10240, 27322522, 22731429, 2668.215
10368, 27665823, 23017045, 2668.386
10496, 28006083, 23300129, 2668.262
10624, 28350622, 23586774, 2668.545
10752, 28691347, 23870246, 2668.466
10880, 29031649, 24153366, 2668.350
11008, 29374106, 24438280, 2668.433
11136, 29715938, 24722672, 2668.457
11264, 30056454, 25005970, 2668.364
11392, 30400023, 25291808, 2668.541
11520, 30740012, 25574667, 2668.404
11648, 31079196, 25856857, 2668.200
11776, 31423851, 26143599, 2668.466
11904, 31762898, 26425674, 2668.254
12032, 32106336, 26711404, 2668.412
12160, 32447513, 26995252, 2668.381
12288, 32787961, 27278493, 2668.291
12416, 33138746, 27570335, 2669.036
12544, 33470243, 27846129, 2668.227
12672, 33814720, 28132723, 2668.460
12800, 34153192, 28414320, 2668.218
12928, 34496128, 28699631, 2668.327
13056, 34835991, 28982386, 2668.198
13184, 35180459, 29268972, 2668.421
13312, 35523086, 29554026, 2668.501
13440, 35864505, 29838076, 2668.490
13568, 36205294, 30121600, 2668.433
13696, 36547457, 30406268, 2668.477
13824, 36887384, 30689077, 2668.358
13952, 37230825, 30974808, 2668.494
14080, 37568905, 31256080, 2668.246
14208, 37913961, 31543155, 2668.494
14336, 38257483, 31828954, 2668.630
14464, 38597919, 32112185, 2668.551
14592, 38937169, 32394429, 2668.392
14720, 39278503, 32678408, 2668.377
14848, 39617513, 32960453, 2668.205
14976, 39962038, 33247086, 2668.405
15104, 40303354, 33531050, 2668.389
15232, 40653153, 33822071, 2668.931
15360, 40984520, 34097758, 2668.263
15488, 41336778, 34390824, 2668.955
15616, 41667522, 34665993, 2668.258
15744, 42009520, 34950524, 2668.288
15872, 42351776, 35235269, 2668.333
16000, 42693835, 35519851, 2668.365
16128, 43037002, 35805354, 2668.465
16256, 43379171, 36090027, 2668.502
16384, 43718949, 36372711, 2668.393
16512, 44057426, 36654313, 2668.207
16640, 44399544, 36938944, 2668.242
16768, 44741235, 37223220, 2668.251
16896, 45082848, 37507430, 2668.256
17024, 45422846, 37790297, 2668.165
17152, 45764937, 38074906, 2668.198
17280, 46107080, 38359557, 2668.234
